~No.overall~No. inseason~Title~Directed by~Written by~Original air date~Prod.code~U.S. viewers(millions)~season~Rating(18–49)~Rating/share(18–49)~Special No.~U.S. viewersmillions
126~131~10~The One With The Routine~Kevin S. Bright~Brian Boyle~December 16, 1999~225561.0~22.43~6~~10.8/33~~
127~132~11~The One With The Apothecary Table~Kevin S. Bright~Story by : Zachary RosenblattTeleplay by : Brian Boyle~January 6, 2000~225560.0~22.26~6~~11.0/30~~
128~133~12~The One With The Joke~Gary Halvorson~Story by : Shana Goldberg-MeehanTeleplay by : Andrew Reich & Ted Cohen~January 13, 2000~225562.0~22.33~6~~11.4/30~~
129~134~13~The One With Rachel'S Sister~Gary Halvorson~Story by : Seth KurlandTeleplay by : Sherry Bilsing-Graham & Ellen Plummer~February 3, 2000~225563.0~24.14~6~~12.2/34~~
130~135~14~The One Where Chandler Can'T Cry~Kevin S. Bright~Andrew Reich & Ted Cohen~February 10, 2000~225564.0~23.82~6~~12.1/33~~
131~136137~1516~The One That Could Have Been~Michael Lembeck~Gregory S. Malins & Adam ChaseDavid Crane & Marta Kauffman~February 17, 2000~225565225566.0~25.89~6~~13.7/35~~
132~138~17~The One With Unagi~Gary Halvorson~Story by : Zachary RosenblattTeleplay by : Adam Chase~February 24, 2000~225568.0~22.21~6~~11.3/31~~
133~139~18~The One Where Ross Dates A Student~Gary Halvorson~Seth Kurland~March 9, 2000~225567.0~20.52~6~~10.1/29~~
134~140~19~The One With Joey'S Fridge~Ben Weiss~Story by : Seth KurlandTeleplay by : Gigi McCreery & Perry Rein~March 23, 2000~225569.0~21.46~6~~10.4/30~~
135~141~20~The One With Mac And C.H.E.E.S.E.~Kevin S. Bright~Doty Abrams~April 13, 2000~225575.0~18.81~6~~9.6/31~~
136~142~21~The One Where Ross Meets Elizabeth'S Dad~Michael Lembeck~Story by : David J. LaganaTeleplay by : Scott Silveri~April 27, 2000~225570.0~20.63~6~~10.8/32~~
137~143~22~The One Where Paul'S The Man~Gary Halvorson~Story by : Brian CaldirolaTeleplay by : Sherry Bilsing-Graham & Ellen Plummer~May 4, 2000~225571.0~20.01~6~~10.2/33~~
138~144~23~The One With The Ring~Gary Halvorson~Ted Cohen & Andrew Reich~May 11, 2000~225572.0~20.87~6~~10.2/34~~
139~145146~2425~The One With The Proposal~Kevin S. Bright~Shana Goldberg-Meehan & Scott SilveriAndrew Reich & Ted Cohen~May 18, 2000~225573225574.0~30.73~6~~16.0/44~~
140~147~1~The One With Monica'S Thunder~Kevin S. Bright~Story by : Wil CalhounTeleplay by : David Crane & Marta Kauffman~October 12, 2000~226401.0~25.54~7~~13.7/38~~
141~148~2~The One With Rachel'S Book~Michael Lembeck~Andrew Reich & Ted Cohen~October 12, 2000~226402.0~27.93~7~~15.4/39~~
142~149~3~The One With Phoebe'S Cookies~Gary Halvorson~Sherry Bilsing & Ellen Plummer~October 19, 2000~226405.0~22.72~7~~11.7/35~~
143~150~4~The One With Rachel'S Assistant~David Schwimmer~Brian Boyle~October 26, 2000~226403.0~22.66~7~~11.7/32~~
144~151~5~The One With The Engagement Picture~Gary Halvorson~Story by : Earl DavisTeleplay by : Patty Lin~November 2, 2000~226404.0~24.43~7~~12.8/34~~
145~152~6~The One With The Nap Partners~Gary Halvorson~Brian Buckner & Sebastian Jones~November 9, 2000~226406.0~22.01~7~~11.2/30~~
146~153~7~The One With Ross'S Library Book~David Schwimmer~Scott Silveri~November 16, 2000~226410.0~23.73~7~~12.1/32~~
147~154~8~The One Where Chandler Doesn'T Like Dogs~Kevin S. Bright~Patty Lin~November 23, 2000~226407.0~16.57~7~~7.3/22~~
148~155~9~The One With All The Candy~David Schwimmer~Wil Calhoun~December 7, 2000~226408.0~21.08~7~~11.0/30~~
149~156~10~The One With The Holiday Armadillo~Gary Halvorson~Gregory S. Malins~December 14, 2000~226409.0~23.26~7~~11.5/32~~
150~157~11~The One With All The Cheesecakes~Gary Halvorson~Shana Goldberg-Meehan~January 4, 2001~226412.0~24.37~7~~12.4/32~~
151~158~12~The One Where They'Re Up All Night~Kevin S. Bright~Zachary Rosenblatt~January 11, 2001~226413.0~22.86~7~~11.6/30~~
152~159~13~The One Where Rosita Dies†~Stephen Prime~Story by : Ellen Plummer & Sherry BilsingTeleplay by : Brian Buckner & Sebastian Jones~February 1, 2001~226415.0~22.24~7~~10.8/27~~
153~160~14~The One Where They All Turn Thirty†~Ben Weiss~Story by : Vanessa McCarthyTeleplay by : Ellen Plummer & Sherry Bilsing~February 8, 2001~226411.0~22.40~7~~11.2/27~~
154~161~15~The One With Joey'S New Brain†~Kevin S. Bright~Story by : Sherry Bilsing & Ellen PlummerTeleplay by : Andrew Reich & Ted Cohen~February 15, 2001~226416.0~21.75~7~~10.6/27~~
155~162~16~The One With The Truth About London†~David Schwimmer~Story by : Brian Buckner & Sebastian JonesTeleplay by : Zachary Rosenblatt~February 22, 2001~226417.0~21.22~7~~9.9/24~~
156~163~17~The One With The Cheap Wedding Dress~Kevin S. Bright~Story by : Brian Buckner & Sebastian JonesTeleplay by : Andrew Reich & Ted Cohen~March 15, 2001~226414.0~20.84~7~~10.0/29~~
157~164~18~The One With Joey'S Award~Gary Halvorson~Story by : Sherry Bilsing & Ellen PlummerTeleplay by : Brian Boyle~March 29, 2001~226418.0~17.81~7~~8.1/21~~
158~165~19~The One With Ross And Monica'S Cousin~Gary Halvorson~Andrew Reich & Ted Cohen~April 19, 2001~226421.0~16.54~7~~7.7/22~~
159~166~20~The One With Rachel'S Big Kiss~Gary Halvorson~Scott Silveri & Shana Goldberg-Meehan~April 26, 2001~226419.0~16.30~7~~8.1/24~~
160~167~21~The One With The Vows~Gary Halvorson~Doty Abrams~May 3, 2001~226424.0~15.65~7~~7.6/21~~
161~168~22~The One With Chandler'S Dad~Kevin S. Bright & Gary Halvorson~Story by : Gregory S. MalinsTeleplay by : Brian Buckner & Sebastian Jones~May 10, 2001~226420.0~17.23~7~~8.6/27~~
163~-1~-1~Friends: The Stuff You'Ve Never Seen~~~February 15, 2001~~~8~~11.6/27~S01~22.50
164~171~1~The One After 'I Do'~Kevin S. Bright~David Crane & Marta Kauffman~September 27, 2001~227401.0~31.70~9~~15.8/43~~
165~172~2~The One With The Red Sweater~David Schwimmer~Dana Klein Borkow~October 4, 2001~227402.0~30.04~9~~14.7/41~~
166~173~3~The One Where Rachel Tells...~Sheldon Epps~Sherry Bilsing & Ellen Plummer~October 11, 2001~227403.0~29.20~9~~15.4/34~~
167~174~4~The One With The Videotape~Kevin S. Bright~Scott Silveri~October 18, 2001~227406.0~25.58~9~~12.2/32~~
168~175~5~The One With Rachel'S Date~Gary Halvorson~Brian Buckner & Sebastian Jones~October 25, 2001~227404.0~25.64~9~~12.5/33~~
169~176~6~The One With The Halloween Party~Gary Halvorson~Mark Kunerth~November 1, 2001~227405.0~26.96~9~~13.5/33~~
170~177~7~The One With The Stain~Kevin S. Bright~R. Lee Fleming Jr.~November 8, 2001~227407.0~24.24~9~~12.1/30~~
171~178~8~The One With The Stripper~David Schwimmer~Andrew Reich & Ted Cohen~November 15, 2001~227408.0~26.54~9~~12.6/33~~
